accident_ticker,died_of_age_ticker,died,new_borns,birth_ticker,death_ticker,population_num
3,0,"['Edward Comnick', 'Randy Comnick', 'Brian Comnick']",[],0,3,125
1,2,"['Robert Comnick', 'Miguel Comnick', 'Loida Comnick']","['Christopher Comnick', 'Shemeka Comnick']",2,3,122
1,1,"['Oscar Comnick', 'Coretta Comnick']",[],0,2,121
0,0,[],['Bryan Comnick'],1,0,119
1,0,['Frances Comnick'],[],0,1,120
1,1,"['Sierra Piet', 'Irma Denko']",['Jin Comnick'],1,2,119
1,0,['Lori Comnick'],"['Michael Comnick', 'Harriet Comnick']",2,1,118
0,0,[],['William Comnick'],1,0,119
0,0,[],"['Olive Comnick', 'Kathleen Comnick', 'Debbie Comnick', 'Laurie Denko', 'Mark Denko', 'Jean Comnick', 'Gloria Denko']",7,0,120
1,0,['Juana Denko'],['Timothy Comnick'],1,1,127
3,0,"['Patricia Comnick', 'Tonya Comnick', 'Altagracia Denko']","['Andrea Denko', 'Clyde Denko', 'William Denko', 'Deborah Comnick', 'Marlyn Comnick', 'Lawrence Comnick', 'Harold Comnick', 'Annie Comnick', 'David Comnick', 'Ebony Comnick', 'Daniel Comnick', 'Billie Comnick', 'Blanche Comnick', 'Edmund Comnick', 'Linda Comnick']",15,3,127
2,2,"['Faye Comnick', 'Phillip Comnick', 'William Comnick', 'Ebony Comnick']",['Mary Denko'],1,4,139
1,0,['Jacquelyn Comnick'],"['Walter Comnick', 'Arthur Comnick', 'Gertrude Comnick', 'Elizabeth Denko', 'Kathy Comnick', 'Charles Denko', 'Willie Denko', 'James Comnick', 'Hope Comnick', 'Ella Comnick', 'Mallory Comnick', 'Jewel Comnick', 'Joseph Comnick', 'Albert Comnick', 'Kristine Comnick', 'Carole Comnick', 'Barbara Denko', 'Laura Comnick']",18,1,136
2,0,"['Timothy Denko', 'Ashley Comnick']",[],0,2,153
0,0,[],"['Nora Comnick', 'Guadalupe Comnick', 'Carlotta Comnick', 'Gail Denko', 'Edward Comnick', 'Karina Comnick', 'Cathy Comnick', 'Cynthia Comnick', 'Michael Comnick', 'Lillie Comnick', 'Clinton Denko', 'Thomas Denko', 'Charles Comnick']",13,0,151
1,1,"['Allen Comnick', 'Clinton Denko']",[],0,2,164
0,2,"['Charlotte Comnick', 'Sarah Comnick']","['Tammy Comnick', 'Helen Comnick', 'Natalie Comnick', 'Denise Comnick', 'David Comnick', 'Tiffiny Denko', 'Shannon Comnick', 'Jacqueline Denko', 'Laura Denko']",9,2,162
1,2,"['Michael Comnick', 'Mary Denko', 'Guadalupe Denko']",[],0,3,169
1,0,['John Denko'],"['Lisa Comnick', 'Kathryn Comnick', 'Heather Denko', 'Michelle Comnick', 'Earl Comnick']",5,1,166
2,1,"['Allison Denko', 'Siobhan Denko', 'Tyler Comnick']",[],0,3,170
0,1,['John Comnick'],"['Minnie Denko', 'Maynard Denko', 'Carl Denko', 'Humberto Comnick', 'Consuelo Comnick']",5,1,167
