accident_ticker,died_of_age_ticker,died,new_borns,birth_ticker,death_ticker,population_num
1,3,"['Jeffrey Columbus', 'Douglas Columbus', 'Shannon Ashmore', 'Francisco Columbus']","['Lisa Columbus', 'Kelly Columbus', 'Elizabeth Columbus', 'Malinda Columbus', 'Angela Columbus', 'Sara Columbus', 'Michael Columbus', 'Michael Columbus', 'Marjorie Columbus', 'Jennifer Columbus', 'Clarence Columbus', 'Patricia Columbus', 'Hunter Columbus', 'Jackie Columbus', 'Raymond Columbus', 'Chad Columbus', 'Robert Columbus']",17,4,321
1,0,['Alia Columbus'],"['Henry Ashmore', 'Carroll Columbus', 'Jesse Columbus', 'Judy Columbus', 'Richard Columbus', 'Omar Columbus', 'Richard Columbus', 'James Columbus', 'Mark Columbus', 'Mary Columbus', 'Amy Columbus']",11,1,334
0,0,[],"['Eugene Columbus', 'Willie Columbus', 'Emmett Columbus', 'Penelope Columbus', 'Betty Columbus', 'Mathew Columbus', 'Carmela Columbus', 'Kelly Columbus', 'Sarah Columbus', 'Joe Columbus', 'Holly Columbus', 'Dale Columbus', 'Dorothy Columbus', 'Sammy Columbus', 'Troy Columbus', 'Louis Columbus', 'Hector Columbus', 'Paul Columbus', 'Mable Columbus', 'Johnny Columbus']",20,0,344
3,1,"['Keiko Columbus', 'Leonard Columbus', 'Bernard Columbus', 'John Columbus']","['Karen Columbus', 'William Columbus', 'Michael Columbus', 'Sally Columbus', 'Katherin Columbus', 'Marjorie Columbus', 'Lisa Columbus', 'Lillian Columbus', 'Adam Columbus', 'Russell Columbus', 'Allison Columbus', 'Izola Columbus', 'Elizabeth Columbus', 'Frances Columbus', 'Mark Columbus', 'Karen Columbus', 'Rita Columbus', 'Zachary Columbus']",18,4,364
3,1,"['Gladys Columbus', 'David Columbus', 'Doris Columbus', 'Holly Columbus']","['Stephen Columbus', 'Phyllis Columbus', 'George Columbus', 'Alfred Columbus', 'April Columbus', 'Kathleen Columbus', 'Matthew Columbus', 'Monique Columbus', 'Scott Columbus', 'Michael Columbus']",10,4,378
1,1,"['John Columbus', 'Phyllis Columbus']","['Martin Columbus', 'Valerie Columbus', 'Alicia Columbus', 'Lucile Columbus', 'Graciela Columbus', 'Linda Columbus', 'Michelle Columbus', 'Millie Columbus', 'Kevin Columbus', 'Christoper Columbus', 'Lori Columbus', 'Michael Columbus', 'Richard Columbus', 'Brad Columbus', 'Russell Columbus', 'Criselda Columbus', 'Grace Columbus']",17,2,384
0,0,[],"['Mario Columbus', 'Joi Columbus', 'Lloyd Columbus', 'Jason Columbus', 'Steven Columbus', 'Cecil Columbus', 'Ben Columbus', 'David Columbus', 'Jeremy Columbus', 'Marsha Columbus', 'Timothy Columbus', 'Oscar Columbus', 'Olive Columbus', 'Peter Columbus']",14,0,399
2,1,"['Tommy Columbus', 'John Columbus', 'Marjorie Columbus']","['James Columbus', 'Steven Columbus', 'Robert Columbus', 'Victor Columbus', 'Patricia Columbus', 'Mary Columbus', 'Enrique Columbus', 'Amy Columbus', 'Jay Columbus', 'Sandra Columbus', 'Erin Columbus', 'Jamal Columbus', 'Priscilla Columbus']",13,3,413
1,2,"['Rebecca Columbus', 'Jermaine Columbus', 'Robert Columbus']","['Duane Columbus', 'Gary Columbus', 'Theodore Columbus', 'Linda Columbus', 'Jamie Columbus', 'Harry Columbus', 'Jerry Columbus', 'Joan Columbus', 'Gregorio Columbus', 'Rosemary Columbus', 'Betty Columbus', 'Kirk Columbus', 'Claude Columbus', 'Ivory Columbus', 'Sharon Columbus']",15,3,423
1,0,['Paul Columbus'],"['Joanne Columbus', 'Mary Columbus', 'Amanda Columbus', 'Bibi Columbus', 'Doris Columbus', 'Kevin Columbus', 'Kimberly Columbus', 'Roosevelt Columbus', 'Walter Columbus', 'Kenneth Ashmore', 'James Columbus', 'Floyd Columbus', 'Darin Columbus', 'Tanya Columbus', 'James Columbus', 'John Columbus', 'Jeffery Columbus', 'Cesar Columbus', 'Alvin Columbus', 'Donna Columbus']",20,1,435
